domain,count,mean,std,median,min,max
business operations,3,-6.666666666666667,5.773502691896257,-10.0,-10.0,0.0
education,3,6.666666666666667,5.773502691896257,10.0,0.0,10.0
finance,3,0.0,10.0,0.0,-10.0,10.0
government administration,3,3.3333333333333335,5.773502691896257,0.0,0.0,10.0
health administration,3,10.0,0.0,10.0,10.0,10.0
human resources,3,0.0,0.0,0.0,0.0,0.0
legal,3,3.3333333333333335,5.773502691896257,0.0,0.0,10.0
nonprofit field work,3,6.666666666666667,5.773502691896257,10.0,0.0,10.0
research,3,6.666666666666667,5.773502691896257,10.0,0.0,10.0
software engineering,3,3.3333333333333335,5.773502691896257,0.0,0.0,10.0
